	ath	vvi
OG0007278	AT3G20810	GSVIVG01025322001
OG0007279	AT3G20860	GSVIVG01025304001
OG0007280	AT3G20870	GSVIVG01025302001
OG0007281	AT3G20920	GSVIVG01025251001
OG0007282	AT3G20930	GSVIVG01011252001
OG0007283	AT3G20970	GSVIVG01011272001
OG0007284	AT3G21060	GSVIVG01018295001
OG0007285	AT3G21070	GSVIVG01025236001
OG0007286	AT3G21110	GSVIVG01009120001
OG0007287	AT3G21180	GSVIVG01016158001
OG0007288	AT3G21200	GSVIVG01016137001
OG0007289	AT3G21215	GSVIVG01016123001
OG0007290	AT3G21250	GSVIVG01016880001
OG0007291	AT3G21290	GSVIVG01016889001
OG0007292	AT3G21300	GSVIVG01016904001
OG0007293	AT3G21350	GSVIVG01016927001
OG0007294	AT3G21360	GSVIVG01016977001
OG0007295	AT3G21400	GSVIVG01017744001
OG0007296	AT3G21420	GSVIVG01017737001
OG0007297	AT3G21430	GSVIVG01017770001
OG0007298	AT3G21460	GSVIVG01017787001
OG0007299	AT3G21470	GSVIVG01010017001
OG0007300	AT3G21540	GSVIVG01033690001
OG0007301	AT3G21550	GSVIVG01017847001
OG0007302	AT3G21580	GSVIVG01017866001
OG0007303	AT3G21610	GSVIVG01037702001
OG0007304	AT3G21640	GSVIVG01032135001
OG0007305	AT3G21670	GSVIVG01030494001
OG0007306	AT3G21700	GSVIVG01014165001
OG0007307	AT3G21720	GSVIVG01030608001
OG0007308	AT3G21740	GSVIVG01030612001
OG0007309	AT3G21810	GSVIVG01030622001
OG0007310	AT3G21820	GSVIVG01030624001
OG0007311	AT3G21865	GSVIVG01030625001
OG0007312	AT3G22190	GSVIVG01037598001
OG0007313	AT3G22210	GSVIVG01015820001
OG0007314	AT3G22250	GSVIVG01010098001
OG0007315	AT3G22260	GSVIVG01017597001
OG0007316	AT3G22290	GSVIVG01000816001
OG0007317	AT3G22320	GSVIVG01015349001
OG0007318	AT3G22330	GSVIVG01000821001
OG0007319	AT3G22380	GSVIVG01017938001
OG0007320	AT3G22430	GSVIVG01017976001
OG0007321	AT3G22450	GSVIVG01017980001
OG0007322	AT3G22480	GSVIVG01017982001
OG0007323	AT3G22550	GSVIVG01001173001
OG0007324	AT3G22560	GSVIVG01018002001
OG0007325	AT3G22590	GSVIVG01018007001
OG0007326	AT3G22660	GSVIVG01018514001
OG0007327	AT3G22680	GSVIVG01018017001
OG0007328	AT3G22690	GSVIVG01018018001
OG0007329	AT3G22800	GSVIVG01018025001
OG0007330	AT3G22830	GSVIVG01003118001
OG0007331	AT3G22845	GSVIVG01018049001
OG0007332	AT3G22850	GSVIVG01018050001
OG0007333	AT3G22880	GSVIVG01018051001
OG0007334	AT3G22950	GSVIVG01018077001
OG0007335	AT3G22960	GSVIVG01018079001
OG0007336	AT3G22990	GSVIVG01018083001
OG0007337	AT3G23020	GSVIVG01018090001
OG0007338	AT3G23070	GSVIVG01018109001
OG0007339	AT3G23100	GSVIVG01018125001
OG0007340	AT3G23160	GSVIVG01027725001
OG0007341	AT3G23200	GSVIVG01027763001
OG0007342	AT3G23240	GSVIVG01036201001
OG0007343	AT3G23255	GSVIVG01004943001
OG0007344	AT3G23280	GSVIVG01027825001
OG0007345	AT3G23330	GSVIVG01029885001
OG0007346	AT3G23350	GSVIVG01027838001
OG0007347	AT3G23360	GSVIVG01027842001
OG0007348	AT3G23380	GSVIVG01027848001
OG0007349	AT3G23390	GSVIVG01012052001
OG0007350	AT3G23400	GSVIVG01027851001
OG0007351	AT3G23430	GSVIVG01027857001
OG0007352	AT3G23490	GSVIVG01027874001
OG0007353	AT3G23580	GSVIVG01017878001
OG0007354	AT3G23600	GSVIVG01017876001
OG0007355	AT3G23610	GSVIVG01017893001
OG0007356	AT3G23620	GSVIVG01033782001
OG0007357	AT3G23640	GSVIVG01022815001
OG0007358	AT3G23660	GSVIVG01031567001
OG0007359	AT3G23700	GSVIVG01031632001
OG0007360	AT3G23710	GSVIVG01031575001
OG0007361	AT3G23740	GSVIVG01031579001
OG0007362	AT3G23750	GSVIVG01031618001
OG0007363	AT3G23780	GSVIVG01035963001
OG0007364	AT3G23890	GSVIVG01032138001
OG0007365	AT3G23900	GSVIVG01001478001
OG0007366	AT3G23920	GSVIVG01001863001
OG0007367	AT3G23940	GSVIVG01029073001
OG0007368	AT3G23980	GSVIVG01029001001
OG0007369	AT3G23990	GSVIVG01029025001
OG0007370	AT3G24010	GSVIVG01029026001
OG0007371	AT3G24030	GSVIVG01029032001
OG0007372	AT3G24040	GSVIVG01029033001
OG0007373	AT3G24060	GSVIVG01029041001
OG0007374	AT3G24090	GSVIVG01032211001
OG0007375	AT3G24110	GSVIVG01021071001
OG0007376	AT3G24140	GSVIVG01021074001
OG0007377	AT3G24150	GSVIVG01015558001
OG0007378	AT3G24160	GSVIVG01021082001
OG0007379	AT3G24170	GSVIVG01029079001
OG0007380	AT3G24180	GSVIVG01029085001
OG0007381	AT3G24190	GSVIVG01000514001
OG0007382	AT3G24200	GSVIVG01012536001
OG0007383	AT3G24220	GSVIVG01029057001
OG0007384	AT3G24315	GSVIVG01027934001
OG0007385	AT3G24320	GSVIVG01027931001
OG0007386	AT3G24430	GSVIVG01015424001
OG0007387	AT3G24450	GSVIVG01015420001
OG0007388	AT3G24460	GSVIVG01015418001
OG0007389	AT3G24490	GSVIVG01017112001
OG0007390	AT3G24495	GSVIVG01015407001
OG0007391	AT3G24515	GSVIVG01015392001
OG0007392	AT3G24520	GSVIVG01015389001
OG0007393	AT3G24530	GSVIVG01015385001
OG0007394	AT3G24560	GSVIVG01015381001
OG0007395	AT3G24570	GSVIVG01035673001
OG0007396	AT3G24590	GSVIVG01015377001
OG0007397	AT3G24650	GSVIVG01028540001
OG0007398	AT3G24660	GSVIVG01028547001
OG0007399	AT3G24730	GSVIVG01028558001
OG0007400	AT3G24740	GSVIVG01028561001
OG0007401	AT3G24760	GSVIVG01028563001
OG0007402	AT3G24800	GSVIVG01028643001
OG0007403	AT3G24820	GSVIVG01028638001
OG0007404	AT3G24840	GSVIVG01028677001
OG0007405	AT3G25070	GSVIVG01004747001
OG0007406	AT3G25100	GSVIVG01000797001
OG0007407	AT3G25120	GSVIVG01003251001
OG0007408	AT3G25140	GSVIVG01003922001
OG0007409	AT3G25160	GSVIVG01003925001
OG0007410	AT3G25210	GSVIVG01009330001
OG0007411	AT3G25220	GSVIVG01005148001
OG0007412	AT3G25230	GSVIVG01002527001
OG0007413	AT3G25410	GSVIVG01003813001
OG0007414	AT3G25430	GSVIVG01003800001
OG0007415	AT3G25440	GSVIVG01023268001
OG0007416	AT3G25470	GSVIVG01001532001
OG0007417	AT3G25480	GSVIVG01001530001
OG0007418	AT3G25530	GSVIVG01004121001
OG0007419	AT3G25590	GSVIVG01012027001
OG0007420	AT3G25600	GSVIVG01012006001
OG0007421	AT3G25660	GSVIVG01020788001
OG0007422	AT3G25680	GSVIVG01011967001
OG0007423	AT3G25690	GSVIVG01011966001
OG0007424	AT3G25800	GSVIVG01008268001
OG0007425	AT3G25805	GSVIVG01011920001
OG0007426	AT3G25855	GSVIVG01008271001
OG0007427	AT3G25900	GSVIVG01011899001
OG0007428	AT3G25920	GSVIVG01011891001
OG0007429	AT3G25970	GSVIVG01036010001
OG0007430	AT3G25980	GSVIVG01010325001
OG0007431	AT3G26060	GSVIVG01015027001
OG0007432	AT3G26085	GSVIVG01010294001
OG0007433	AT3G26090	GSVIVG01010292001
OG0007434	AT3G26100	GSVIVG01000593001
OG0007435	AT3G26115	GSVIVG01000584001
OG0007436	AT3G26360	GSVIVG01003295001
OG0007437	AT3G26370	GSVIVG01000555001
OG0007438	AT3G26410	GSVIVG01029751001
OG0007439	AT3G26420	GSVIVG01001672001
OG0007440	AT3G26510	GSVIVG01005751001
OG0007441	AT3G26540	GSVIVG01009974001
OG0007442	AT3G26570	GSVIVG01005753001
OG0007443	AT3G26580	GSVIVG01004073001
OG0007444	AT3G26600	GSVIVG01004080001
OG0007445	AT3G26610	GSVIVG01013800001
OG0007446	AT3G26670	GSVIVG01032952001
OG0007447	AT3G26700	GSVIVG01032970001
OG0007448	AT3G26710	GSVIVG01032980001
OG0007449	AT3G26730	GSVIVG01032990001
OG0007450	AT3G26750	GSVIVG01018883001
OG0007451	AT3G26760	GSVIVG01032999001
OG0007452	AT3G26782	GSVIVG01033004001
OG0007453	AT3G26790	GSVIVG01033007001
OG0007454	AT3G26850	GSVIVG01008114001
OG0007455	AT3G26950	GSVIVG01033038001
OG0007456	AT3G26990	GSVIVG01033039001
OG0007457	AT3G27000	GSVIVG01033049001
OG0007458	AT3G27020	GSVIVG01033058001
OG0007459	AT3G27050	GSVIVG01033089001
OG0007460	AT3G27080	GSVIVG01033094001
OG0007461	AT3G27100	GSVIVG01033096001
OG0007462	AT3G27110	GSVIVG01033097001
OG0007463	AT3G27120	GSVIVG01033101001
OG0007464	AT3G27160	GSVIVG01033105001
OG0007465	AT3G27170	GSVIVG01033108001
OG0007466	AT3G27180	GSVIVG01033109001
OG0007467	AT3G27200	GSVIVG01001807001
OG0007468	AT3G27310	GSVIVG01001850001
OG0007469	AT3G27325	GSVIVG01027213001
OG0007470	AT3G27330	GSVIVG01003965001
OG0007471	AT3G27440	GSVIVG01032376001
OG0007472	AT3G27520	GSVIVG01032384001
OG0007473	AT3G27530	GSVIVG01000649001
OG0007474	AT3G27550	GSVIVG01032387001
OG0007475	AT3G27640	GSVIVG01032413001
OG0007476	AT3G27650	GSVIVG01032415001
OG0007477	AT3G27670	GSVIVG01032418001
OG0007478	AT3G27700	GSVIVG01032423001
OG0007479	AT3G27730	GSVIVG01032433001
OG0007480	AT3G27740	GSVIVG01026584001
OG0007481	AT3G27750	GSVIVG01017048001
OG0007482	AT3G27820	GSVIVG01032453001
OG0007483	AT3G27860	GSVIVG01032455001
OG0007484	AT3G27925	GSVIVG01034494001
OG0007485	AT3G27930	GSVIVG01032469001
OG0007486	AT3G28030	GSVIVG01032508001
OG0007487	AT3G28040	GSVIVG01031658001
OG0007488	AT3G28050	GSVIVG01032511001
OG0007489	AT3G28150	GSVIVG01032519001
OG0007490	AT3G28180	GSVIVG01032523001
OG0007491	AT3G28210	GSVIVG01032538001
OG0007492	AT3G28345	GSVIVG01032578001
OG0007493	AT3G28370	GSVIVG01032574001
OG0007494	AT3G28430	GSVIVG01029303001
OG0007495	AT3G28455	GSVIVG01020127001
OG0007496	AT3G28460	GSVIVG01032566001
OG0007497	AT3G28670	GSVIVG01009231001
OG0007498	AT3G28700	GSVIVG01032604001
OG0007499	AT3G28730	GSVIVG01011349001
OG0007500	AT3G28760	GSVIVG01011374001
OG0007501	AT3G28880	GSVIVG01011394001
OG0007502	AT3G28917	GSVIVG01011415001
OG0007503	AT3G28970	GSVIVG01011430001
OG0007504	AT3G29010	GSVIVG01007990001
OG0007505	AT3G29075	GSVIVG01011458001
OG0007506	AT3G29090	GSVIVG01011459001
OG0007507	AT3G29130	GSVIVG01021626001
OG0007508	AT3G29170	GSVIVG01011468001
OG0007509	AT3G29185	GSVIVG01011472001
OG0007510	AT3G29230	GSVIVG01030645001
OG0007511	AT3G29240	GSVIVG01011480001
OG0007512	AT3G29280	GSVIVG01011493001
OG0007513	AT3G29290	GSVIVG01011494001
OG0007514	AT3G29310	GSVIVG01011503001
OG0007515	AT3G29390	GSVIVG01032902001
OG0007516	AT3G29760	GSVIVG01032915001
OG0007517	AT3G29770	GSVIVG01032917001
OG0007518	AT3G30210	GSVIVG01036552001
OG0007519	AT3G30300	GSVIVG01036531001
OG0007520	AT3G30380	GSVIVG01010118001
OG0007521	AT3G32930	GSVIVG01025405001
OG0007522	AT3G32940	GSVIVG01025406001
OG0007523	AT3G33520	GSVIVG01015556001
OG0007524	AT3G33530	GSVIVG01015557001
OG0007525	AT3G42050	GSVIVG01024344001
OG0007526	AT3G42170	GSVIVG01015587001
OG0007527	AT3G42630	GSVIVG01032259001
OG0007528	AT3G42660	GSVIVG01008170001
OG0007529	AT3G42800	GSVIVG01015116001
OG0007530	AT3G42860	GSVIVG01018616001
OG0007531	AT3G42950	GSVIVG01015044001
OG0007532	AT3G43190	GSVIVG01015018001
OG0007533	AT3G43210	GSVIVG01015015001
OG0007534	AT3G43230	GSVIVG01015009001
OG0007535	AT3G43300	GSVIVG01014993001
OG0007536	AT3G43540	GSVIVG01035507001
OG0007537	AT3G43590	GSVIVG01037516001
OG0007538	AT3G43610	GSVIVG01022379001
OG0007539	AT3G43860	GSVIVG01035481001
OG0007540	AT3G43920	GSVIVG01035494001
OG0007541	AT3G44020	GSVIVG01037526001
OG0007542	AT3G44050	GSVIVG01037540001
OG0007543	AT3G44150	GSVIVG01022561001
OG0007544	AT3G44160	GSVIVG01037593001
OG0007545	AT3G44200	GSVIVG01037558001
OG0007546	AT3G44330	GSVIVG01036081001
OG0007547	AT3G44380	GSVIVG01036107001
OG0007548	AT3G44530	GSVIVG01036170001
OG0007549	AT3G44600	GSVIVG01031368001
OG0007550	AT3G44620	GSVIVG01031373001
OG0007551	AT3G44716	GSVIVG01031390001
OG0007552	AT3G44730	GSVIVG01014752001
OG0007553	AT3G44735	GSVIVG01033785001
OG0007554	AT3G44750	GSVIVG01033775001
OG0007555	AT3G44820	GSVIVG01031416001
OG0007556	AT3G44830	GSVIVG01031419001
OG0007557	AT3G44880	GSVIVG01031457001
OG0007558	AT3G44890	GSVIVG01031460001
OG0007559	AT3G45020	GSVIVG01031504001
OG0007560	AT3G45040	GSVIVG01031509001
OG0007561	AT3G45100	GSVIVG01024777001
OG0007562	AT3G45300	GSVIVG01025158001
OG0007563	AT3G45310	GSVIVG01015078001
OG0007564	AT3G45400	GSVIVG01029936001
OG0007565	AT3G45620	GSVIVG01025114001
OG0007566	AT3G45640	GSVIVG01025105001
OG0007567	AT3G45740	GSVIVG01025090001
OG0007568	AT3G45770	GSVIVG01025089001
OG0007569	AT3G45780	GSVIVG01025082001
OG0007570	AT3G45850	GSVIVG01025071001
OG0007571	AT3G45870	GSVIVG01036865001
OG0007572	AT3G45880	GSVIVG01036861001
OG0007573	AT3G45890	GSVIVG01020479001
OG0007574	AT3G45900	GSVIVG01022805001
OG0007575	AT3G46020	GSVIVG01025020001
OG0007576	AT3G46100	GSVIVG01025735001
OG0007577	AT3G46130	GSVIVG01025034001
OG0007578	AT3G46200	GSVIVG01025054001
OG0007579	AT3G46210	GSVIVG01035631001
OG0007580	AT3G46220	GSVIVG01025056001
OG0007581	AT3G46440	GSVIVG01016574001
OG0007582	AT3G46450	GSVIVG01025001001
OG0007583	AT3G46540	GSVIVG01024977001
OG0007584	AT3G46550	GSVIVG01024973001
OG0007585	AT3G46610	GSVIVG01003980001
OG0007586	AT3G46630	GSVIVG01009433001
OG0007587	AT3G46740	GSVIVG01024913001
OG0007588	AT3G46750	GSVIVG01031399001
OG0007589	AT3G46780	GSVIVG01024905001
OG0007590	AT3G46960	GSVIVG01024809001
OG0007591	AT3G46970	GSVIVG01024804001
OG0007592	AT3G46980	GSVIVG01024802001
OG0007593	AT3G47070	GSVIVG01024785001
OG0007594	AT3G47120	GSVIVG01024759001
OG0007595	AT3G47180	GSVIVG01008838001
OG0007596	AT3G47340	GSVIVG01024713001
OG0007597	AT3G47390	GSVIVG01019077001
OG0007598	AT3G47420	GSVIVG01018648001
OG0007599	AT3G47430	GSVIVG01018663001
OG0007600	AT3G47440	GSVIVG01018678001
OG0007601	AT3G47450	GSVIVG01018681001
OG0007602	AT3G47470	GSVIVG01007988001
OG0007603	AT3G47510	GSVIVG01007993001
OG0007604	AT3G47520	GSVIVG01007997001
OG0007605	AT3G47550	GSVIVG01008001001
OG0007606	AT3G47610	GSVIVG01008019001
OG0007607	AT3G47630	GSVIVG01012154001
OG0007608	AT3G47640	GSVIVG01008025001
OG0007609	AT3G47650	GSVIVG01015532001
OG0007610	AT3G47700	GSVIVG01008031001
OG0007611	AT3G47730	GSVIVG01008042001
OG0007612	AT3G47780	GSVIVG01008040001
OG0007613	AT3G47800	GSVIVG01008039001
OG0007614	AT3G47810	GSVIVG01020043001
OG0007615	AT3G47830	GSVIVG01007819001
OG0007616	AT3G47840	GSVIVG01018922001
OG0007617	AT3G47850	GSVIVG01008091001
OG0007618	AT3G47860	GSVIVG01001999001
OG0007619	AT3G47870	GSVIVG01008080001
OG0007620	AT3G47930	GSVIVG01033574001
OG0007621	AT3G47940	GSVIVG01008076001
OG0007622	AT3G47990	GSVIVG01007765001
OG0007623	AT3G48000	GSVIVG01007784001
OG0007624	AT3G48110	GSVIVG01018288001
OG0007625	AT3G48120	GSVIVG01007834001
OG0007626	AT3G48170	GSVIVG01007829001
OG0007627	AT3G48190	GSVIVG01007755001
OG0007628	AT3G48195	GSVIVG01007724001
OG0007629	AT3G48200	GSVIVG01007718001
OG0007630	AT3G48210	GSVIVG01007687001
OG0007631	AT3G48330	GSVIVG01007595001
OG0007632	AT3G48380	GSVIVG01007577001
OG0007633	AT3G48420	GSVIVG01007572001
OG0007634	AT3G48425	GSVIVG01007565001
OG0007635	AT3G48430	GSVIVG01007564001
OG0007636	AT3G48460	GSVIVG01007554001
OG0007637	AT3G48470	GSVIVG01007540001
OG0007638	AT3G48480	GSVIVG01007539001
OG0007639	AT3G48490	GSVIVG01007536001
OG0007640	AT3G48500	GSVIVG01008490001
OG0007641	AT3G48530	GSVIVG01008534001
OG0007642	AT3G48540	GSVIVG01008544001
OG0007643	AT3G48550	GSVIVG01008545001
OG0007644	AT3G48560	GSVIVG01033088001
OG0007645	AT3G48670	GSVIVG01016528001
OG0007646	AT3G48750	GSVIVG01026700001
OG0007647	AT3G48770	GSVIVG01008605001
OG0007648	AT3G48810	GSVIVG01034953001
OG0007649	AT3G48820	GSVIVG01008625001
OG0007650	AT3G48880	GSVIVG01010544001
OG0007651	AT3G48900	GSVIVG01010540001
OG0007652	AT3G48970	GSVIVG01028973001
OG0007653	AT3G49050	GSVIVG01028916001
OG0007654	AT3G49055	GSVIVG01028910001
OG0007655	AT3G49080	GSVIVG01036122001
OG0007656	AT3G49100	GSVIVG01000751001
OG0007657	AT3G49142	GSVIVG01029382001
OG0007658	AT3G49160	GSVIVG01028701001
OG0007659	AT3G49180	GSVIVG01009478001
OG0007660	AT3G49250	GSVIVG01038554001
OG0007661	AT3G49260	GSVIVG01038556001
OG0007662	AT3G49400	GSVIVG01038634001
OG0007663	AT3G49430	GSVIVG01038636001
OG0007664	AT3G49470	GSVIVG01038657001
OG0007665	AT3G49490	GSVIVG01038660001
OG0007666	AT3G49500	GSVIVG01035851001
OG0007667	AT3G49590	GSVIVG01038685001
OG0007668	AT3G49600	GSVIVG01035602001
OG0007669	AT3G49601	GSVIVG01035595001
OG0007670	AT3G49640	GSVIVG01005613001
OG0007671	AT3G49645	GSVIVG01017423001
OG0007672	AT3G49650	GSVIVG01003703001
OG0007673	AT3G49660	GSVIVG01003702001
OG0007674	AT3G49710	GSVIVG01002530001
OG0007675	AT3G49725	GSVIVG01002450001
OG0007676	AT3G49880	GSVIVG01000105001
OG0007677	AT3G49990	GSVIVG01009825001
OG0007678	AT3G50210	GSVIVG01022069001
OG0007679	AT3G50360	GSVIVG01038234001
OG0007680	AT3G50370	GSVIVG01022139001
OG0007681	AT3G50380	GSVIVG01005092001
OG0007682	AT3G50430	GSVIVG01002723001
OG0007683	AT3G50530	GSVIVG01031789001
OG0007684	AT3G50560	GSVIVG01006576001
OG0007685	AT3G50590	GSVIVG01006575001
OG0007686	AT3G50660	GSVIVG01018977001
OG0007687	AT3G50670	GSVIVG01018981001
OG0007688	AT3G50690	GSVIVG01018984001
OG0007689	AT3G50770	GSVIVG01019035001
OG0007690	AT3G50780	GSVIVG01019044001
OG0007691	AT3G50790	GSVIVG01019651001
OG0007692	AT3G50830	GSVIVG01003772001
OG0007693	AT3G50845	GSVIVG01018962001
OG0007694	AT3G50860	GSVIVG01018959001
OG0007695	AT3G50920	GSVIVG01018921001
OG0007696	AT3G50950	GSVIVG01018889001
OG0007697	AT3G51010	GSVIVG01018856001
OG0007698	AT3G51030	GSVIVG01009794001
OG0007699	AT3G51040	GSVIVG01018851001
OG0007700	AT3G51050	GSVIVG01018847001
OG0007701	AT3G51070	GSVIVG01018844001
OG0007702	AT3G51100	GSVIVG01024183001
OG0007703	AT3G51130	GSVIVG01018824001
OG0007704	AT3G51240	GSVIVG01009907001
OG0007705	AT3G51270	GSVIVG01038269001
OG0007706	AT3G51290	GSVIVG01018739001
OG0007707	AT3G51380	GSVIVG01002333001
OG0007708	AT3G51390	GSVIVG01005853001
OG0007709	AT3G51510	GSVIVG01026613001
OG0007710	AT3G51520	GSVIVG01026423001
OG0007711	AT3G51610	GSVIVG01030200001
OG0007712	AT3G51620	GSVIVG01030201001
OG0007713	AT3G51660	GSVIVG01030268001
OG0007714	AT3G51670	GSVIVG01030264001
OG0007715	AT3G51680	GSVIVG01030245001
OG0007716	AT3G51710	GSVIVG01030223001
OG0007717	AT3G51750	GSVIVG01030296001
OG0007718	AT3G51790	GSVIVG01025303001
OG0007719	AT3G51820	GSVIVG01011187001
OG0007720	AT3G51830	GSVIVG01011177001
OG0007721	AT3G51840	GSVIVG01011175001
OG0007722	AT3G51870	GSVIVG01033963001
OG0007723	AT3G51880	GSVIVG01033966001
OG0007724	AT3G51930	GSVIVG01000858001
OG0007725	AT3G51970	GSVIVG01006103001
OG0007726	AT3G51980	GSVIVG01001139001
OG0007727	AT3G51990	GSVIVG01001442001
OG0007728	AT3G52030	GSVIVG01032215001
OG0007729	AT3G52040	GSVIVG01032212001
OG0007730	AT3G52050	GSVIVG01038136001
OG0007731	AT3G52060	GSVIVG01034592001
OG0007732	AT3G52090	GSVIVG01036004001
OG0007733	AT3G52110	GSVIVG01032083001
OG0007734	AT3G52115	GSVIVG01032060001
OG0007735	AT3G52120	GSVIVG01032056001
OG0007736	AT3G52140	GSVIVG01032046001
OG0007737	AT3G52150	GSVIVG01032039001
OG0007738	AT3G52155	GSVIVG01002756001
OG0007739	AT3G52160	GSVIVG01034244001
OG0007740	AT3G52170	GSVIVG01005025001
OG0007741	AT3G52180	GSVIVG01005023001
OG0007742	AT3G52190	GSVIVG01034664001
OG0007743	AT3G52200	GSVIVG01034677001
OG0007744	AT3G52210	GSVIVG01034681001
OG0007745	AT3G52220	GSVIVG01010682001
OG0007746	AT3G52230	GSVIVG01034686001
OG0007747	AT3G52240	GSVIVG01034734001
OG0007748	AT3G52250	GSVIVG01016309001
OG0007749	AT3G52260	GSVIVG01016310001
OG0007750	AT3G52300	GSVIVG01016324001
OG0007751	AT3G52380	GSVIVG01022600001
OG0007752	AT3G52390	GSVIVG01022599001
OG0007753	AT3G52430	GSVIVG01022328001
OG0007754	AT3G52440	GSVIVG01011138001
OG0007755	AT3G52480	GSVIVG01033946001
OG0007756	AT3G52500	GSVIVG01033935001
OG0007757	AT3G52560	GSVIVG01033925001
OG0007758	AT3G52570	GSVIVG01033878001
OG0007759	AT3G52610	GSVIVG01033869001
OG0007760	AT3G52620	GSVIVG01033861001
OG0007761	AT3G52640	GSVIVG01030701001
OG0007762	AT3G52720	GSVIVG01033852001
OG0007763	AT3G52730	GSVIVG01033840001
OG0007764	AT3G52770	GSVIVG01033826001
OG0007765	AT3G52850	GSVIVG01030177001
OG0007766	AT3G52860	GSVIVG01028030001
OG0007767	AT3G52870	GSVIVG01034759001
OG0007768	AT3G52880	GSVIVG01033815001
OG0007769	AT3G52905	GSVIVG01019762001
OG0007770	AT3G52940	GSVIVG01033776001
OG0007771	AT3G52950	GSVIVG01022373001
OG0007772	AT3G52970	GSVIVG01033752001
OG0007773	AT3G52990	GSVIVG01033747001
OG0007774	AT3G53000	GSVIVG01033745001
OG0007775	AT3G53090	GSVIVG01033734001
OG0007776	AT3G53110	GSVIVG01033721001
OG0007777	AT3G53130	GSVIVG01033707001
OG0007778	AT3G53140	GSVIVG01033708001
OG0007779	AT3G53170	GSVIVG01032162001
OG0007780	AT3G53180	GSVIVG01033692001
OG0007781	AT3G53200	GSVIVG01033670001
OG0007782	AT3G53220	GSVIVG01033652001
OG0007783	AT3G53270	GSVIVG01015588001
OG0007784	AT3G53360	GSVIVG01025639001
OG0007785	AT3G53440	GSVIVG01008306001
OG0007786	AT3G53470	GSVIVG01025542001
OG0007787	AT3G53490	GSVIVG01025578001
OG0007788	AT3G53540	GSVIVG01025600001
OG0007789	AT3G53570	GSVIVG01025605001
OG0007790	AT3G53580	GSVIVG01025612001
OG0007791	AT3G53620	GSVIVG01025621001
OG0007792	AT3G53630	GSVIVG01025623001
OG0007793	AT3G53690	GSVIVG01015008001
OG0007794	AT3G53720	GSVIVG01034209001
OG0007795	AT3G53760	GSVIVG01028027001
OG0007796	AT3G53850	GSVIVG01034106001
OG0007797	AT3G53900	GSVIVG01034092001
OG0007798	AT3G53920	GSVIVG01035330001
OG0007799	AT3G53940	GSVIVG01034074001
OG0007800	AT3G53970	GSVIVG01034068001
OG0007801	AT3G53990	GSVIVG01034055001
OG0007802	AT3G54010	GSVIVG01034052001
OG0007803	AT3G54040	GSVIVG01034038001
OG0007804	AT3G54050	GSVIVG01034037001
OG0007805	AT3G54090	GSVIVG01034028001
OG0007806	AT3G54110	GSVIVG01034022001
OG0007807	AT3G54120	GSVIVG01034020001
OG0007808	AT3G54130	GSVIVG01034019001
OG0007809	AT3G54140	GSVIVG01024796001
OG0007810	AT3G54170	GSVIVG01007683001
OG0007811	AT3G54190	GSVIVG01032872001
OG0007812	AT3G54210	GSVIVG01037929001
OG0007813	AT3G54220	GSVIVG01029824001
OG0007814	AT3G54230	GSVIVG01013204001
OG0007815	AT3G54260	GSVIVG01001005001
OG0007816	AT3G54280	GSVIVG01019359001
OG0007817	AT3G54290	GSVIVG01010724001
OG0007818	AT3G54300	GSVIVG01010710001
OG0007819	AT3G54340	GSVIVG01009815001
OG0007820	AT3G54360	GSVIVG01027370001
OG0007821	AT3G54390	GSVIVG01016139001
OG0007822	AT3G54420	GSVIVG01038111001
OG0007823	AT3G54440	GSVIVG01013489001
OG0007824	AT3G54450	GSVIVG01013493001
OG0007825	AT3G54460	GSVIVG01013494001
OG0007826	AT3G54470	GSVIVG01000650001
OG0007827	AT3G54480	GSVIVG01000659001
OG0007828	AT3G54500	GSVIVG01000669001
OG0007829	AT3G54510	GSVIVG01000831001
OG0007830	AT3G54540	GSVIVG01034906001
OG0007831	AT3G54610	GSVIVG01000712001
OG0007832	AT3G54650	GSVIVG01000724001
OG0007833	AT3G54660	GSVIVG01000729001
OG0007834	AT3G54670	GSVIVG01028343001
OG0007835	AT3G54690	GSVIVG01028350001
OG0007836	AT3G54770	GSVIVG01016345001
OG0007837	AT3G54840	GSVIVG01016227001
OG0007838	AT3G54850	GSVIVG01016225001
OG0007839	AT3G54860	GSVIVG01016224001
OG0007840	AT3G54870	GSVIVG01016220001
OG0007841	AT3G54880	GSVIVG01016184001
OG0007842	AT3G54890	GSVIVG01016295001
OG0007843	AT3G54900	GSVIVG01032936001
OG0007844	AT3G54940	GSVIVG01016190001
OG0007845	AT3G54970	GSVIVG01016348001
OG0007846	AT3G55070	GSVIVG01032634001
OG0007847	AT3G55080	GSVIVG01032632001
OG0007848	AT3G55120	GSVIVG01032619001
OG0007849	AT3G55140	GSVIVG01005974001
OG0007850	AT3G55160	GSVIVG01011388001
OG0007851	AT3G55250	GSVIVG01032484001
OG0007852	AT3G55260	GSVIVG01016639001
OG0007853	AT3G55330	GSVIVG01016618001
OG0007854	AT3G55340	GSVIVG01016604001
OG0007855	AT3G55350	GSVIVG01025032001
OG0007856	AT3G55360	GSVIVG01016549001
OG0007857	AT3G55390	GSVIVG01016570001
OG0007858	AT3G55400	GSVIVG01016575001
OG0007859	AT3G55420	GSVIVG01016552001
OG0007860	AT3G55460	GSVIVG01016562001
